KEGG_GLYCOLYSIS_GLUCONEOGENESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GLYCOLYSIS_GLUCONEOGENESIS	ACSS2	GCK	PGK2	PGK1	PDHB	PDHA1	PDHA2	PGM2	TPI1	ACSS1	FBP1	ADH1B	HK2	ADH1C	HK1	HK3	ADH4	PGAM2	ADH5	PGAM1	ADH1A	ALDOC	ALDH7A1	LDHAL6B	PKLR	LDHAL6A	ENO1	PKM2	PFKP	BPGM	PCK2	PCK1	ALDH1B1	ALDH2	ALDH3A1	AKR1A1	FBP2	PFKM	PFKL	LDHC	GAPDH	ENO3	ENO2	PGAM4	ADH7	ADH6	LDHB	ALDH1A3	ALDH3B1	ALDH3B2	ALDH9A1	ALDH3A2	GALM	ALDOA	DLD	DLAT	ALDOB	G6PC2	LDHA	G6PC	PGM1	GPI																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																
KEGG_CITRATE_CYCLE_TCA_CYCLE	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_CITRATE_CYCLE_TCA_CYCLE	IDH3B	DLST	PCK2	CS	PDHB	PCK1	PDHA1	LOC642502	PDHA2	LOC283398	FH	SDHD	OGDH	SDHB	IDH3A	SDHC	IDH2	IDH1	ACO1	ACLY	MDH2	DLD	MDH1	DLAT	OGDHL	PC	SDHA	SUCLG1	SUCLA2	SUCLG2	IDH3G	ACO2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
KEGG_PENTOSE_PHOSPHATE_PATHWAY	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PENTOSE_PHOSPHATE_PATHWAY	RPE	RPIA	PGM2	PGLS	PRPS2	FBP2	PFKM	PFKL	TALDO1	TKT	FBP1	TKTL2	PGD	RBKS	ALDOA	ALDOC	ALDOB	H6PD	LOC729020	PRPS1L1	PRPS1	DERA	G6PD	PGM1	TKTL1	PFKP	GPI																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	UGT1A10	UGT1A8	RPE	UGT1A7	UGT1A6	UGT2B28	UGT1A5	CRYL1	UGDH	UGT2A1	GUSB	UGT1A9	DCXR	LOC729020	DHDH	UGT2B11	UGP2	XYLB	UGT2B10	AKR1B1	UGT2B7	UGT2B4	UGT2A3	UGT1A4	UGT2B17	UGT1A1	UGT1A3	UGT2B15																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	MPI	PMM2	PMM1	FBP2	PFKM	GMDS	PFKFB4	PFKL	MTMR6	TPI1	PHPT1	PFKFB3	FUK	PFKFB2	MTMR1	PFKFB1	AKR1B10	FPGT	KHK	FBP1	MTMR2	HK2	HK3	HK1	ALDOA	ALDOC	ALDOB	MTMR7	TSTA3	AKR1B1	SORD	GMPPA	PFKP	GMPPB																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
KEGG_GALACTOSE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_GALACTOSE_METABOLISM	GCK	GALK1	GLB1	GALE	B4GALT1	PGM2	LALBA	PFKM	PFKL	MGAM	HK2	HK1	HK3	GALT	G6PC2	GLA	GANC	LCT	GALK2	G6PC	UGP2	PGM1	AKR1B1	B4GALT2	GAA	PFKP																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	UGT1A10	UGT1A8	UGT1A7	UGT1A6	ALDH1B1	UGT2B28	ALDH2	UGT1A5	MIOX	UGDH	UGT2A1	ALDH9A1	ALDH3A2	UGT1A9	ALDH7A1	UGT2B11	UGT2B10	UGT2B7	UGT2B4	UGT2A3	UGT1A4	UGT1A1	UGT2B17	UGT1A3	UGT2B15																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																					
KEGG_FATTY_ACID_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_FATTY_ACID_METABOLISM	CPT1A	CPT1C	ACADS	ALDH1B1	ACADSB	ACADL	ALDH2	ACADM	CYP4A11	ACAT2	ACADVL	ACAT1	ACAA2	HADH	HADHB	HADHA	CYP4A22	ADH7	ADH6	ACSL6	ADH1B	ADH1C	ADH4	ECHS1	ADH5	ALDH9A1	ALDH3A2	ACSL5	ADH1A	EHHADH	GCDH	ALDH7A1	ACOX3	ACSL1	ACAA1	CPT2	CPT1B	ACOX1	ECI2	ECI1	ACSL3	ACSL4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
KEGG_STEROID_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_STEROID_BIOSYNTHESIS	SOAT1	LSS	SQLE	EBP	CYP51A1	DHCR7	CYP27B1	DHCR24	HSD17B7	MSMO1	FDFT1	SC5DL	LIPA	CEL	TM7SF2	NSDHL	SOAT2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	CYP46A1	SLC27A5	BAAT	CYP7B1	AKR1C4	HSD17B4	SCP2	AKR1D1	ACOX2	HSD3B7	CYP27A1	AMACR	CYP7A1	CYP8B1	CYP39A1	CH25H																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																														
