A_23_P146146	NM_152565
A_23_P42935	NM_004333
A_23_P117082	NM_015987
A_23_P2683	NM_024604
A_23_P157316	NM_178829
A_23_P158596	NM_001040196
A_23_P350107	NM_030961
A_23_P388190	NM_033081
A_23_P106544	NM_020188
A_32_P85539	NM_013320
A_23_P94998	NM_012318
A_23_P417014	NM_001010877
A_23_P103905	NM_016406
A_24_P497186	NM_182972
A_23_P118536	NM_018042
A_23_P434289	NM_080865
A_24_P28657	NM_015446
A_33_P3344292	XR_040192
A_33_P3317618	NM_003178
A_23_P2873	NM_182923
A_23_P171095	NM_001145073
A_23_P213014	NM_001001290
A_23_P256455	NM_002947
A_33_P3217009	XM_001721424
A_23_P112846	NM_001144978
A_24_P99639	NM_178170
A_23_P31135	NM_005891
A_23_P105705	NM_020996
A_33_P3346083	NM_181807
A_23_P332509	NM_015909
A_33_P3378777	NR_026642
A_23_P110266	NM_024574
A_23_P112874	NM_004466
A_23_P105138	NM_001752
A_23_P144264	NM_014820
A_23_P100344	NM_014321
A_23_P162486	NM_002831
A_23_P103104	NM_002405
A_33_P3350086	NM_001004695
A_23_P1170	NM_174890
A_23_P169017	NM_018661
A_23_P25698	NM_003049
A_23_P102950	NM_080860
A_23_P102517	NM_002601
A_24_P630490	NM_001042702
A_33_P3288969	XR_039684
A_32_P196263	NM_182920
A_33_P3225690	NM_014643
A_24_P277934	NM_000089
A_23_P13914	NM_032656
A_23_P131089	NM_198471
A_23_P101521	NM_152358
A_33_P3695548	NM_006231
A_33_P3775741	NR_003111
A_33_P3374299	NM_173561
A_23_P163113	NM_017922
A_23_P51587	NM_002924
A_23_P120557	NM_017714
A_24_P413669	NM_001018053
A_23_P35977	NM_024791
A_33_P3367615	NM_001160124
A_33_P3379886	NM_002006
A_32_P69802	NM_134431
A_24_P915007	NM_052876
A_23_P53057	NM_013250
A_23_P49338	NM_016639
A_23_P371266	NM_015569
A_23_P200874	NM_022778
A_23_P11262	NM_012151
A_23_P103511	NM_001085375
A_24_P89080	NM_000788
A_23_P157607	NM_018142
A_23_P145777	NM_002489
A_23_P107693	NM_017652
A_23_P160828	NM_017891
A_23_P120237	NM_020151
A_23_P99360	NM_213590
A_33_P3329339	XR_040213
A_32_P34876	NM_020212
A_23_P112220	NM_002195
A_32_P210642	NM_201446
A_32_P50123	NM_001042758
A_23_P114134	NM_175711
A_23_P10995	NM_014483
A_33_P3315314	NM_005951
A_23_P120414	NM_003404
A_23_P9280	NR_029410
A_32_P223210	NM_145268
A_23_P104146	NM_005095
A_23_P122228	NM_004553
A_23_P213518	NM_001750
A_33_P3406939	NM_194313
A_23_P117095	NM_020638
A_23_P77160	NM_017610
A_23_P331598	NM_006391
A_33_P3372297	NM_001159746
A_33_P3284586	NM_018378
A_33_P3578394	NR_027086
A_23_P118493	NM_005486
A_23_P100203	NM_001537
A_33_P3343106	NM_014209
A_23_P355455	NM_014744
A_23_P109345	NM_004339
A_23_P100991	NM_006771
A_24_P381136	NM_016223
A_23_P106405	NM_002487
A_23_P370097	NM_001044385
A_23_P118254	NM_001451
A_33_P3664161	NM_001145051
A_23_P109055	NM_033550
A_23_P214211	NM_020320
A_23_P106505	NM_014793
A_24_P158089	NM_000602
A_23_P56787	NM_130773
A_23_P120048	NM_013450
A_23_P215214	NM_022458
A_23_P45365	NM_033380
A_23_P318616	NM_001039029
A_23_P250800	NM_006100
A_23_P321160	NM_032530
A_23_P134454	NM_001753
A_23_P217475	NM_006123
A_23_P89509	NM_006461
A_23_P41395	NM_000730
A_23_P253524	NM_001813
A_23_P114405	NM_012286
A_33_P3387601	NR_002948
A_23_P106544	NM_020188
A_33_P3409508	NM_002751
A_23_P254353	NM_006647
A_33_P3424122	NM_001008536
A_23_P102391	NM_014585
A_23_P56810	NM_018158
A_23_P124164	NM_020701
A_24_P276463	NR_027402
A_33_P3387991	NM_001805
A_23_P98431	NM_000190
A_23_P206359	NM_004360
A_23_P51397	NM_001008493
A_23_P108554	NM_004939
A_33_P3372788	NM_173638
A_24_P122732	NM_173854
A_33_P3269864	NR_028335
A_23_P211504	NM_016657
A_23_P114095	NM_015884
A_23_P374902	NM_152353
A_33_P3291877	NM_020732
A_23_P24997	NM_000075
A_23_P48088	NM_001242
A_23_P103149	NM_001098
A_23_P110492	NM_005885
A_23_P20876	NM_177995
A_23_P215828	NM_022820
A_33_P3234222	NM_001010873
A_23_P94879	NM_000506
A_23_P312300	NM_002407
A_33_P3354569	NM_001083112
A_24_P132470	NM_020728
A_24_P281988	NM_015184
A_24_P410086	NM_032627
A_23_P37778	NM_013241
A_33_P3409513	NM_002751
A_24_P200162	NM_014056
A_23_P171397	NM_001006121
A_23_P322625	NM_005683
A_23_P5983	NM_006227
A_23_P386254	NM_001189
A_23_P409516	NM_138333
A_33_P3270404	NM_001077198
A_23_P84705	NM_012452
A_23_P128613	NM_024089
A_33_P3328883	NM_001129895
A_23_P114656	NM_004964
A_33_P3230478	NM_201442
A_23_P102202	NM_000179
A_33_P3349036	NR_024455
A_23_P127267	NM_005097
A_33_P3388618	NM_003985
A_23_P36397	NM_000785
A_23_P8083	NM_025261
A_32_P212471	NM_001144956
A_33_P3215768	NM_007210
A_23_P206441	NM_000135
A_23_P153037	NM_020787
A_24_P151498	NM_206962
A_23_P113777	NM_004791
A_24_P365721	NM_007231
A_33_P3237977	NM_197958
A_23_P1102	NM_001100
A_24_P381975	NM_001077419
A_23_P102412	NM_019091
A_23_P134109	NM_001431
A_33_P3392580	NM_013411
A_23_P145761	NM_005738
A_23_P104372	NM_015190
A_23_P321320	NM_052902
A_23_P209519	NM_001039550
A_23_P108948	NM_018000
A_23_P160406	NM_016121
A_23_P111635	NM_016086
A_23_P212196	NM_016828
A_24_P406754	NM_032211
A_24_P400172	NR_026966
A_33_P3243544	NM_004451
A_24_P7790	NM_172006
A_23_P304682	NM_001424
A_33_P3358295	NM_172027
A_33_P3233025	NM_001135995
A_33_P3298990	NM_014207
A_23_P204423	NM_002710
A_23_P114095	NM_015884
A_23_P104025	NM_052965
A_23_P101131	NM_002091
A_23_P110846	NM_004779
A_23_P252335	NM_018944
A_23_P425752	NM_033219
A_23_P117506	NM_016029
A_23_P316741	NM_001025237
A_23_P3592	NM_001040667
A_33_P3395723	XR_016360
A_33_P3364060	NM_005144
A_23_P434919	NM_152304
A_23_P106236	NR_024620
A_33_P3231878	NM_002645
A_24_P19810	NM_024664
A_23_P122001	NM_002439
A_23_P399078	NM_000362
A_33_P3419696	NM_002006
A_24_P58620	NM_020716
A_33_P3405459	NM_024059
A_23_P8416	NM_022087
A_23_P355623	NM_019004
A_23_P102770	NM_016100
A_23_P205575	NM_022571
A_33_P3299696	NM_207416
A_23_P112026	NM_002164
A_33_P3315410	NM_004645
A_23_P100991	NM_006771
A_23_P162486	NM_002831
A_23_P250118	NM_024610
A_33_P3232655	NM_001009824
A_33_P3291279	NM_001029870
A_23_P120442	NM_181659
A_33_P3768992	NM_152418
A_23_P113471	NM_174912
A_23_P10206	NM_005328
A_24_P48723	NM_000961
A_23_P412321	NM_000579
A_33_P3222019	NM_014653
A_23_P369815	NM_000639
A_33_P3252612	NM_017781
A_23_P115645	NM_001025076
A_23_P54088	NM_001004715
A_33_P3259339	NM_080629
A_24_P191664	NM_014498
A_33_P3318653	NM_001005479
A_23_P218807	NM_017590
A_23_P404730	NM_052948
A_23_P14543	NM_006020
A_33_P3210647	NM_001856
A_33_P3341105	NM_002602
A_23_P50096	NM_001071
A_23_P386384	NM_152377
A_33_P3264121	NM_004607
A_32_P142128	NR_026566
A_32_P3534	NM_001102612
A_23_P122228	NM_004553
A_24_P384569	NM_001163287
A_23_P50276	NM_031917
A_23_P123905	NM_016042
A_23_P501010	NM_000494
A_23_P105862	NM_023037
A_33_P3348214	XM_001133081
A_23_P15678	NM_053285
A_24_P386375	NM_002175
A_33_P3281816	NM_006367
A_23_P115202	NM_016190
A_33_P3257528	NM_015555
A_23_P115167	NM_015350
A_32_P131143	NR_024482
A_23_P88404	NM_003239
A_23_P106741	NM_002811
A_23_P3221	NM_021199
A_23_P74526	NM_203456
A_33_P3264116	NM_198586
