Probe Set ID	Gene Symbol	Gene Title
A_23_P158596	AGTRAP	angiotensin II receptor-associated protein
A_33_P3317618	SYN2	synapsin II
A_23_P332509	NBAS	neuroblastoma amplified sequence
A_23_P105138	CAT	catalase
A_33_P3695548	POLE	polymerase (DNA directed), epsilon
A_24_P89080	DCK	deoxycytidine kinase
A_23_P10995	RBMS3	RNA binding motif, single stranded interacting protein
A_23_P213518	CAST	calpastatin
A_33_P3372297	ABR	active BCR-related gene
A_23_P106405	NDN	necdin homolog (mouse)
A_23_P41395	CCKAR	cholecystokinin A receptor
A_33_P3387991	CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon
A_23_P98431	HMBS	hydroxymethylbilane synthase
A_23_P51397	ENAH	enabled homolog (Drosophila)
A_23_P94879	F2	coagulation factor II (thrombin)
A_23_P5983	PLTP	phospholipid transfer protein
A_23_P206441	FANCA	Fanconi anemia, complementation group A
A_23_P108948	MREG	melanoregulin
A_33_P3243544	ESRRA	estrogen-related receptor alpha
A_23_P101131	GRP	gastrin-releasing peptide
A_33_P3364060	HR	hairless homolog (mouse)
A_24_P19810	PPCS	phosphopantothenoylcysteine synthetase
A_33_P3315410	COIL	coilin
A_33_P3232655	GHRHR	growth hormone releasing hormone receptor
A_23_P50096	TYMS	thymidylate synthetase
A_33_P3264121	TBCA	tubulin folding cofactor A
A_23_P105862	FRY	furry homolog (Drosophila)
A_23_P115202	CRNN	cornulin
A_23_P3221	SQRDL	sulfide quinone reductase-like (yeast)
A_23_P74526	PPIE	peptidylprolyl isomerase E (cyclophilin E)
A_23_P117274	MIPEP	mitochondrial intermediate peptidase
A_23_P53137	HBG1	hemoglobin, gamma A
A_23_P23669	PALMD	palmdelphin
A_23_P137035	PIR	pirin (iron-binding nuclear protein)
A_23_P135576	PTPRT	protein tyrosine phosphatase, receptor type, T
A_33_P3259092	FKTN	fukutin
A_23_P310350	SHPK	sedoheptulokinase
A_23_P118002	UQCRC2	ubiquinol-cytochrome c reductase core protein II
A_33_P3416757	PRLR	prolactin receptor
A_24_P796321	LEUTX	leucine twenty homeobox
A_24_P940921	SETX	senataxin
A_23_P36641	AICDA	activation-induced cytidine deaminase
A_23_P105562	VWF	von Willebrand factor
A_24_P71973	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)
A_33_P3284763	DMD	dystrophin
A_23_P102364	NGEF	neuronal guanine nucleotide exchange factor
A_23_P101185	NARS	asparaginyl-tRNA synthetase
A_23_P403955	TARDBP	TAR DNA binding protein
A_23_P118571	SOST	sclerosteosis
A_24_P383076	AASDH	aminoadipate-semialdehyde dehydrogenase
